Roll Angle, Pitch Angle, AccX, AccY, AccZ, Timer
-0.45,-0.19,0.01,-0.02,0.89,9444895
-0.70,-0.29,0.01,-0.02,0.89,9448833
-0.87,-0.35,0.01,-0.02,0.89,9452789
-0.99,-0.40,0.01,-0.03,0.89,9456728
-1.07,-0.45,0.01,-0.02,0.89,9460679
-1.14,-0.49,0.01,-0.03,0.89,9464636
-1.18,-0.53,0.01,-0.02,0.89,9468580
-1.20,-0.57,0.01,-0.02,0.89,9472528
-1.21,-0.61,0.02,-0.02,0.89,9476463
-1.21,-0.66,0.02,-0.02,0.89,9480418
-1.20,-0.71,0.02,-0.02,0.89,9484360
-1.19,-0.76,0.02,-0.02,0.89,9488302
-1.19,-0.80,0.02,-0.02,0.89,9492255
-1.19,-0.83,0.02,-0.02,0.89,9496201
-1.19,-0.85,0.02,-0.02,0.89,9500156
-1.20,-0.86,0.02,-0.02,0.89,9504101
-1.21,-0.86,0.01,-0.02,0.89,9508048
-1.22,-0.84,0.01,-0.02,0.89,9512001
-1.23,-0.82,0.01,-0.02,0.89,9515946
-1.24,-0.79,0.00,-0.02,0.89,9519901
-1.24,-0.77,0.00,-0.02,0.89,9523839
-1.24,-0.74,0.00,-0.02,0.89,9527786
-1.24,-0.71,0.00,-0.02,0.89,9531726
-1.23,-0.68,-0.00,-0.02,0.89,9535674
-1.23,-0.64,-0.00,-0.02,0.89,9539623
-1.22,-0.61,-0.01,-0.02,0.89,9543563
-1.21,-0.57,-0.01,-0.02,0.89,9547522
-1.20,-0.54,-0.01,-0.02,0.89,9551459
-1.20,-0.51,-0.01,-0.02,0.89,9555402
-1.20,-0.48,-0.01,-0.02,0.89,9559354
-1.20,-0.46,-0.00,-0.02,0.89,9563294
-1.20,-0.45,-0.00,-0.02,0.89,9567242
-1.20,-0.44,0.00,-0.02,0.89,9571181
-1.20,-0.44,0.00,-0.02,0.89,9575132
-1.21,-0.44,0.01,-0.02,0.89,9579084
-1.21,-0.44,0.01,-0.02,0.89,9583031
-1.22,-0.45,0.01,-0.02,0.89,9586986
-1.22,-0.47,0.01,-0.02,0.89,9590930
-1.22,-0.49,0.02,-0.02,0.89,9594889
-1.23,-0.51,0.02,-0.02,0.89,9598830
-1.23,-0.54,0.02,-0.02,0.89,9602776
-1.23,-0.57,0.03,-0.02,0.89,9606731
-1.24,-0.60,0.03,-0.02,0.89,9610674
-1.24,-0.63,0.03,-0.02,0.89,9614631
-1.24,-0.66,0.03,-0.02,0.90,9618573
-1.25,-0.69,0.03,-0.02,0.89,9622533
-1.25,-0.73,0.04,-0.02,0.90,9626475
-1.26,-0.76,0.04,-0.02,0.89,9630426
-1.27,-0.79,0.04,-0.03,0.90,9634384
-1.27,-0.81,0.03,-0.03,0.90,9638332
-1.28,-0.84,0.03,-0.03,0.89,9642288
-1.29,-0.86,0.03,-0.02,0.89,9646225
-1.29,-0.87,0.03,-0.02,0.89,9650185
-1.29,-0.89,0.03,-0.02,0.89,9654126
-1.30,-0.90,0.02,-0.02,0.89,9658074
-1.30,-0.91,0.02,-0.02,0.89,9662029
-1.30,-0.91,0.02,-0.02,0.89,9665971
-1.30,-0.92,0.02,-0.02,0.89,9669922
-1.29,-0.92,0.02,-0.02,0.89,9673867
-1.29,-0.91,0.01,-0.02,0.89,9677812
-1.29,-0.91,0.01,-0.02,0.89,9681763
-1.29,-0.90,0.01,-0.02,0.89,9685698
-1.29,-0.89,0.01,-0.02,0.89,9689655
-1.29,-0.88,0.00,-0.02,0.89,9693601
-1.29,-0.87,0.00,-0.02,0.89,9697556
-1.30,-0.85,0.00,-0.02,0.89,9701489
-1.30,-0.84,0.00,-0.02,0.89,9705432
-1.30,-0.83,-0.00,-0.02,0.89,9709384
-1.30,-0.81,-0.00,-0.02,0.89,9713326
-1.30,-0.80,0.00,-0.02,0.89,9717271
