Roll Angle, Pitch Angle, AccX, AccY, AccZ, Timer
-1.32,-0.85,0.01,-0.02,0.89,9916544
-1.32,-0.85,0.01,-0.02,0.89,9920499
-1.32,-0.85,0.01,-0.02,0.89,9924447
-1.32,-0.86,0.01,-0.02,0.89,9928398
-1.32,-0.86,0.01,-0.02,0.89,9932356
-1.33,-0.86,0.01,-0.02,0.89,9936303
-1.33,-0.86,0.01,-0.02,0.89,9940266
-1.33,-0.86,0.01,-0.02,0.89,9944209
-1.33,-0.86,0.01,-0.02,0.89,9948168
-1.33,-0.86,0.01,-0.02,0.89,9952121
-1.33,-0.86,0.01,-0.02,0.89,9956067
-1.33,-0.86,0.01,-0.02,0.89,9960025
-1.33,-0.86,0.01,-0.02,0.89,9963978
-1.33,-0.86,0.01,-0.02,0.89,9967938
-1.33,-0.86,0.01,-0.02,0.89,9971883
-1.33,-0.86,0.01,-0.02,0.89,9975836
-1.33,-0.86,0.01,-0.02,0.89,9979797
-1.33,-0.86,0.01,-0.02,0.89,9983743
-1.33,-0.86,0.01,-0.02,0.89,9987700
-1.33,-0.86,0.02,-0.02,0.89,9991646
-1.33,-0.86,0.02,-0.02,0.89,9995604
-1.33,-0.86,0.02,-0.02,0.89,9999547
-1.33,-0.86,0.01,-0.02,0.89,10003494
-1.33,-0.86,0.01,-0.02,0.89,10007447
-1.33,-0.86,0.01,-0.02,0.89,10011396
-1.33,-0.86,0.01,-0.02,0.89,10015353
-1.33,-0.86,0.01,-0.02,0.89,10019303
-1.33,-0.86,0.01,-0.02,0.89,10023253
-1.33,-0.87,0.01,-0.02,0.89,10027204
-1.33,-0.87,0.01,-0.02,0.89,10031155
-1.33,-0.87,0.01,-0.02,0.89,10035113
-1.33,-0.86,0.01,-0.02,0.90,10039061
-1.33,-0.86,0.01,-0.02,0.89,10043017
-1.33,-0.86,0.01,-0.02,0.89,10046974
-1.33,-0.87,0.01,-0.02,0.89,10050925
-1.33,-0.87,0.01,-0.02,0.89,10054883
-1.33,-0.87,0.01,-0.02,0.89,10058832
-1.33,-0.87,0.01,-0.02,0.89,10062789
-1.33,-0.86,0.01,-0.02,0.89,10066748
-1.33,-0.86,0.01,-0.02,0.89,10070696
-1.33,-0.86,0.01,-0.02,0.89,10074652
-1.33,-0.86,0.01,-0.02,0.89,10078605
-1.33,-0.86,0.01,-0.02,0.89,10082559
-1.33,-0.86,0.01,-0.02,0.89,10086509
-1.33,-0.86,0.01,-0.02,0.89,10090453
-1.33,-0.86,0.01,-0.02,0.89,10094415
-1.33,-0.86,0.01,-0.02,0.89,10098363
-1.33,-0.86,0.01,-0.02,0.89,10102324
-1.33,-0.86,0.01,-0.02,0.89,10106275
-1.33,-0.86,0.01,-0.02,0.89,10110223
-1.33,-0.86,0.01,-0.02,0.89,10114178
-1.33,-0.86,0.01,-0.02,0.89,10118122
-1.33,-0.86,0.01,-0.02,0.89,10122081
-1.33,-0.86,0.01,-0.02,0.89,10126026
-1.33,-0.86,0.01,-0.02,0.89,10129983
-1.33,-0.86,0.01,-0.02,0.89,10133944
-1.33,-0.86,0.01,-0.02,0.89,10137886
-1.33,-0.86,0.01,-0.02,0.89,10141848
-1.33,-0.86,0.01,-0.02,0.89,10145798
-1.33,-0.86,0.01,-0.02,0.89,10149750
-1.33,-0.86,0.01,-0.02,0.89,10153704
-1.33,-0.86,0.01,-0.02,0.89,10157653
-1.33,-0.86,0.01,-0.02,0.89,10161618
-1.33,-0.86,0.01,-0.02,0.89,10165564
-1.33,-0.86,0.01,-0.02,0.89,10169515
-1.33,-0.86,0.01,-0.02,0.89,10173470
-1.33,-0.86,0.01,-0.02,0.89,10177416
-1.33,-0.86,0.01,-0.02,0.89,10181381
-1.33,-0.86,0.01,-0.02,0.89,10185332
-1.33,-0.86,0.01,-0.02,0.89,10189284
-1.33,-0.86,0.01,-0.02,0.89,10193239
-1.33,-0.86,0.01,-0.02,0.89,10197186
-1.33,-0.86,0.01,-0.02,0.89,10201147
-1.33,-0.86,0.01,-0.02,0.89,10205094
-1.33,-0.86,0.01,-0.02,0.89,10209042
-1.33,-0.86,0.01,-0.02,0.89,10212991
-1.33,-0.86,0.01,-0.02,0.89,10216937
-1.33,-0.86,0.01,-0.02,0.89,10220896
-1.33,-0.86,0.01,-0.02,0.89,10224841
-1.33,-0.86,0.01,-0.02,0.89,10228797
-1.33,-0.86,0.01,-0.02,0.89,10232745
-1.33,-0.86,0.01,-0.02,0.89,10236694
-1.33,-0.86,0.01,-0.02,0.89,10240650
-1.33,-0.86,0.01,-0.02,0.89,10244593
-1.33,-0.86,0.01,-0.02,0.89,10248551
-1.33,-0.86,0.01,-0.02,0.89,10252500
-1.33,-0.86,0.01,-0.02,0.89,10256454
-1.33,-0.86,0.01,-0.02,0.89,10260411
-1.33,-0.86,0.01,-0.02,0.89,10264358
-1.33,-0.87,0.01,-0.02,0.89,10268315
-1.33,-0.87,0.01,-0.02,0.89,10272268
-1.33,-0.87,0.01,-0.02,0.89,10276217
-1.33,-0.87,0.01,-0.02,0.89,10280181
-1.33,-0.87,0.01,-0.02,0.89,10284131
-1.33,-0.87,0.01,-0.02,0.89,10288094
-1.33,-0.86,0.01,-0.02,0.89,10292042
-1.33,-0.86,0.01,-0.02,0.89,10295995
-1.33,-0.87,0.01,-0.02,0.89,10299958
-1.33,-0.87,0.01,-0.02,0.89,10303901
-1.34,-0.87,0.01,-0.02,0.89,10307866
-1.34,-0.87,0.01,-0.02,0.89,10311812
-1.34,-0.86,0.01,-0.02,0.89,10315766
-1.34,-0.86,0.01,-0.02,0.89,10319722
-1.34,-0.86,0.01,-0.02,0.89,10323667
-1.34,-0.86,0.01,-0.02,0.89,10327621
-1.34,-0.86,0.01,-0.02,0.89,10331569
-1.34,-0.86,0.01,-0.02,0.89,10335520
-1.34,-0.86,0.01,-0.02,0.90,10339477
-1.34,-0.86,0.01,-0.02,0.90,10343421
-1.34,-0.86,0.01,-0.02,0.89,10347380
-1.34,-0.86,0.01,-0.02,0.89,10351330
-1.34,-0.86,0.01,-0.02,0.89,10355290
-1.34,-0.86,0.01,-0.02,0.89,10359241
-1.34,-0.86,0.01,-0.02,0.89,10363184
-1.34,-0.87,0.01,-0.02,0.89,10367136
-1.34,-0.87,0.01,-0.02,0.89,10371079
-1.34,-0.87,0.01,-0.02,0.89,10375041
-1.34,-0.87,0.01,-0.02,0.89,10378980
-1.34,-0.87,0.01,-0.02,0.89,10382936
-1.34,-0.87,0.01,-0.02,0.89,10386888
-1.34,-0.87,0.01,-0.02,0.89,10390836
-1.34,-0.87,0.01,-0.02,0.89,10394797
-1.34,-0.87,0.01,-0.02,0.89,10398748
-1.34,-0.87,0.01,-0.02,0.89,10402694
-1.34,-0.87,0.01,-0.02,0.89,10406651
-1.34,-0.87,0.01,-0.02,0.89,10410600
-1.34,-0.86,0.01,-0.02,0.89,10414553
-1.34,-0.86,0.01,-0.02,0.89,10418502
-1.34,-0.86,0.01,-0.02,0.89,10422449
-1.34,-0.86,0.01,-0.02,0.89,10426403
-1.34,-0.86,0.01,-0.02,0.89,10430353
-1.34,-0.86,0.01,-0.02,0.89,10434312
-1.34,-0.86,0.01,-0.02,0.89,10438258
-1.34,-0.86,0.01,-0.02,0.89,10442214
-1.34,-0.86,0.01,-0.02,0.89,10446171
-1.34,-0.86,0.01,-0.02,0.89,10450118
-1.34,-0.86,0.01,-0.02,0.89,10454082
-1.34,-0.86,0.01,-0.02,0.89,10458028
-1.34,-0.86,0.01,-0.02,0.89,10461977
-1.34,-0.86,0.01,-0.02,0.89,10465930
-1.34,-0.86,0.01,-0.02,0.89,10469876
-1.34,-0.86,0.01,-0.02,0.89,10473837
-1.34,-0.86,0.01,-0.02,0.89,10477787
-1.34,-0.86,0.01,-0.02,0.89,10481749
-1.34,-0.86,0.01,-0.02,0.89,10485698
-1.34,-0.86,0.01,-0.02,0.90,10489645
-1.35,-0.86,0.01,-0.02,0.89,10493599
-1.35,-0.87,0.01,-0.02,0.89,10497549
-1.35,-0.87,0.01,-0.02,0.89,10501507
-1.35,-0.87,0.01,-0.02,0.89,10505453
-1.35,-0.87,0.01,-0.02,0.89,10509402
-1.35,-0.87,0.02,-0.02,0.89,10513368
-1.35,-0.87,0.01,-0.02,0.89,10517322
-1.35,-0.87,0.01,-0.02,0.89,10521276
-1.35,-0.87,0.01,-0.02,0.89,10525220
-1.35,-0.87,0.01,-0.02,0.89,10529173
-1.35,-0.87,0.01,-0.02,0.89,10533132
-1.35,-0.87,0.01,-0.02,0.89,10537083
-1.35,-0.87,0.01,-0.02,0.89,10541038
-1.35,-0.87,0.01,-0.02,0.89,10544990
-1.35,-0.87,0.01,-0.02,0.89,10548945
-1.35,-0.87,0.01,-0.02,0.89,10552907
-1.35,-0.87,0.01,-0.02,0.89,10556857
-1.35,-0.87,0.01,-0.02,0.89,10560811
-1.35,-0.87,0.01,-0.02,0.89,10564758
-1.35,-0.87,0.01,-0.02,0.89,10568709
-1.35,-0.87,0.01,-0.02,0.89,10572668
-1.35,-0.87,0.01,-0.02,0.89,10576614
-1.35,-0.87,0.01,-0.02,0.89,10580571
-1.35,-0.87,0.01,-0.02,0.89,10584517
-1.35,-0.87,0.01,-0.02,0.89,10588472
-1.35,-0.87,0.01,-0.02,0.89,10592427
-1.35,-0.87,0.01,-0.02,0.89,10596375
-1.35,-0.87,0.01,-0.02,0.89,10600336
-1.34,-0.87,0.01,-0.02,0.89,10604290
-1.34,-0.87,0.01,-0.02,0.89,10608249
-1.34,-0.87,0.01,-0.02,0.89,10612198
-1.34,-0.87,0.01,-0.02,0.89,10616144
-1.34,-0.87,0.01,-0.02,0.89,10620108
-1.34,-0.87,0.01,-0.02,0.89,10624055
-1.34,-0.87,0.01,-0.02,0.89,10628010
-1.34,-0.87,0.01,-0.02,0.89,10631957
-1.34,-0.87,0.01,-0.02,0.89,10635909
-1.34,-0.87,0.01,-0.02,0.89,10639865
-1.34,-0.87,0.01,-0.02,0.89,10643814
-1.34,-0.87,0.01,-0.02,0.89,10647773
-1.34,-0.86,0.01,-0.02,0.89,10651723
-1.34,-0.86,0.01,-0.02,0.89,10655677
-1.34,-0.86,0.01,-0.02,0.89,10659635
-1.34,-0.86,0.01,-0.02,0.89,10663579
-1.34,-0.86,0.01,-0.02,0.89,10667539
-1.34,-0.86,0.01,-0.02,0.89,10671487
-1.34,-0.86,0.01,-0.02,0.89,10675442
-1.34,-0.86,0.01,-0.02,0.89,10679400
-1.34,-0.86,0.01,-0.02,0.89,10683346
-1.34,-0.86,0.01,-0.02,0.89,10687313
-1.34,-0.86,0.01,-0.02,0.89,10691260
-1.34,-0.86,0.01,-0.02,0.89,10695216
