Roll Angle, Pitch Angle, AccX, AccY, AccZ, Timer
-0.41,-0.25,0.01,-0.02,0.89,9458676
-0.63,-0.39,0.01,-0.02,0.89,9462620
-0.76,-0.48,0.01,-0.02,0.89,9466576
-0.86,-0.54,0.01,-0.02,0.89,9470521
-0.92,-0.58,0.01,-0.02,0.89,9474468
-0.96,-0.61,0.01,-0.02,0.89,9478423
-1.00,-0.63,0.01,-0.02,0.89,9482366
-1.03,-0.64,0.01,-0.02,0.89,9486323
-1.05,-0.65,0.01,-0.02,0.89,9490267
-1.08,-0.66,0.01,-0.02,0.89,9494218
-1.09,-0.67,0.01,-0.02,0.89,9498159
-1.11,-0.68,0.01,-0.02,0.89,9502113
-1.12,-0.68,0.01,-0.02,0.89,9506075
-1.14,-0.68,0.01,-0.02,0.89,9510023
-1.16,-0.69,0.01,-0.02,0.89,9513985
-1.17,-0.70,0.01,-0.02,0.89,9517926
-1.18,-0.70,0.01,-0.02,0.89,9521872
-1.19,-0.71,0.01,-0.02,0.89,9525825
-1.19,-0.71,0.01,-0.02,0.89,9529766
-1.20,-0.72,0.01,-0.02,0.89,9533716
-1.20,-0.72,0.01,-0.02,0.89,9537652
-1.21,-0.73,0.01,-0.02,0.89,9541611
-1.22,-0.73,0.01,-0.02,0.89,9545560
-1.22,-0.74,0.01,-0.02,0.89,9549514
-1.23,-0.74,0.01,-0.02,0.89,9553470
-1.24,-0.75,0.01,-0.02,0.89,9557421
-1.24,-0.75,0.01,-0.02,0.89,9561376
-1.25,-0.75,0.01,-0.02,0.89,9565323
-1.25,-0.76,0.01,-0.02,0.89,9569275
-1.26,-0.76,0.01,-0.02,0.89,9573219
-1.26,-0.77,0.01,-0.02,0.89,9577166
-1.26,-0.77,0.01,-0.02,0.89,9581126
-1.27,-0.78,0.01,-0.02,0.89,9585075
-1.27,-0.78,0.01,-0.02,0.89,9589035
-1.27,-0.79,0.01,-0.02,0.89,9592983
-1.27,-0.79,0.01,-0.02,0.89,9596930
-1.27,-0.79,0.01,-0.02,0.89,9600880
-1.28,-0.80,0.01,-0.02,0.89,9604824
-1.28,-0.80,0.01,-0.02,0.89,9608782
