Roll Angle, Pitch Angle, AccX, AccY, AccZ, Timer
-1.29,-0.82,0.01,-0.02,0.89,11805149
-1.29,-0.82,0.01,-0.02,0.89,11809115
-1.29,-0.82,0.01,-0.02,0.89,11813067
-1.29,-0.82,0.01,-0.02,0.89,11817022
-1.29,-0.82,0.01,-0.02,0.89,11820981
-1.29,-0.82,0.01,-0.02,0.89,11824929
-1.29,-0.82,0.01,-0.02,0.89,11828880
-1.29,-0.82,0.01,-0.02,0.89,11832819
-1.29,-0.82,0.01,-0.02,0.89,11836767
-1.29,-0.82,0.01,-0.02,0.89,11840723
-1.29,-0.82,0.01,-0.02,0.89,11844670
-1.30,-0.82,0.01,-0.02,0.89,11848630
-1.30,-0.82,0.01,-0.02,0.89,11852574
-1.30,-0.82,0.01,-0.02,0.89,11856527
-1.30,-0.82,0.01,-0.02,0.89,11860466
-1.30,-0.82,0.01,-0.02,0.89,11864413
-1.30,-0.82,0.01,-0.02,0.89,11868360
-1.30,-0.82,0.01,-0.02,0.89,11872304
-1.30,-0.82,0.01,-0.02,0.89,11876257
-1.30,-0.82,0.01,-0.02,0.89,11880203
-1.30,-0.82,0.01,-0.02,0.89,11884157
-1.30,-0.82,0.01,-0.02,0.89,11888113
-1.30,-0.82,0.01,-0.02,0.89,11892054
-1.30,-0.82,0.01,-0.02,0.89,11896014
-1.30,-0.82,0.01,-0.02,0.89,11899954
-1.30,-0.82,0.01,-0.02,0.89,11903897
-1.30,-0.82,0.01,-0.02,0.89,11907847
-1.29,-0.82,0.01,-0.02,0.89,11911791
-1.29,-0.82,0.01,-0.02,0.89,11915745
-1.29,-0.82,0.01,-0.02,0.89,11919690
-1.29,-0.82,0.01,-0.02,0.89,11923643
-1.29,-0.82,0.01,-0.02,0.89,11927596
-1.29,-0.82,0.01,-0.02,0.89,11931542
-1.29,-0.82,0.01,-0.02,0.89,11935499
-1.29,-0.82,0.01,-0.02,0.89,11939444
-1.30,-0.83,0.01,-0.02,0.89,11943391
-1.30,-0.83,0.01,-0.02,0.89,11947347
-1.30,-0.83,0.01,-0.02,0.89,11951290
-1.30,-0.83,0.01,-0.02,0.89,11955244
-1.30,-0.83,0.01,-0.02,0.89,11959188
-1.30,-0.83,0.01,-0.02,0.89,11963139
-1.30,-0.83,0.01,-0.02,0.89,11967094
-1.30,-0.83,0.01,-0.02,0.89,11971042
-1.30,-0.83,0.01,-0.02,0.89,11974994
-1.30,-0.83,0.01,-0.02,0.89,11978939
-1.30,-0.83,0.01,-0.02,0.89,11982897
-1.30,-0.83,0.01,-0.02,0.89,11986836
-1.30,-0.83,0.01,-0.02,0.89,11990787
-1.30,-0.83,0.01,-0.02,0.89,11994742
-1.30,-0.83,0.01,-0.02,0.89,11998691
-1.30,-0.83,0.01,-0.02,0.89,12002648
-1.30,-0.83,0.01,-0.02,0.89,12006593
-1.30,-0.83,0.02,-0.02,0.89,12010542
-1.30,-0.83,0.01,-0.02,0.89,12014494
-1.30,-0.83,0.01,-0.02,0.89,12018437
-1.30,-0.83,0.01,-0.02,0.89,12022396
-1.30,-0.83,0.01,-0.02,0.89,12026341
-1.30,-0.83,0.01,-0.02,0.89,12030286
-1.30,-0.83,0.01,-0.02,0.89,12034233
-1.30,-0.83,0.01,-0.02,0.89,12038180
-1.30,-0.83,0.01,-0.02,0.89,12042134
-1.30,-0.83,0.01,-0.02,0.89,12046083
-1.30,-0.83,0.01,-0.02,0.89,12050035
-1.30,-0.83,0.01,-0.02,0.89,12053988
-1.31,-0.84,0.01,-0.02,0.89,12057937
-1.31,-0.83,0.01,-0.02,0.89,12061901
-1.31,-0.84,0.01,-0.02,0.89,12065847
-1.31,-0.84,0.01,-0.02,0.89,12069799
-1.31,-0.83,0.01,-0.02,0.89,12073752
-1.31,-0.83,0.01,-0.02,0.89,12077703
-1.31,-0.83,0.01,-0.02,0.89,12081662
-1.31,-0.83,0.01,-0.02,0.89,12085605
-1.31,-0.83,0.01,-0.02,0.89,12089555
-1.31,-0.83,0.01,-0.02,0.89,12093505
-1.31,-0.83,0.01,-0.02,0.89,12097454
-1.31,-0.83,0.01,-0.02,0.89,12101416
-1.31,-0.83,0.01,-0.02,0.89,12105364
-1.31,-0.83,0.01,-0.02,0.89,12109321
-1.31,-0.83,0.01,-0.02,0.89,12113264
-1.31,-0.83,0.01,-0.02,0.89,12117217
-1.31,-0.83,0.01,-0.02,0.89,12121172
-1.31,-0.83,0.01,-0.02,0.89,12125127
-1.31,-0.83,0.01,-0.02,0.89,12129090
-1.31,-0.83,0.01,-0.02,0.89,12133038
-1.31,-0.83,0.01,-0.02,0.89,12136985
-1.31,-0.83,0.01,-0.02,0.89,12140942
-1.31,-0.83,0.01,-0.02,0.89,12144890
-1.31,-0.83,0.01,-0.02,0.89,12148852
-1.31,-0.83,0.01,-0.02,0.89,12152804
-1.31,-0.83,0.01,-0.02,0.89,12156754
-1.31,-0.83,0.01,-0.02,0.89,12160717
-1.31,-0.83,0.01,-0.02,0.89,12164655
-1.31,-0.83,0.01,-0.02,0.89,12168610
-1.31,-0.83,0.01,-0.02,0.89,12172555
-1.31,-0.84,0.01,-0.02,0.89,12176507
-1.31,-0.84,0.01,-0.02,0.89,12180465
-1.31,-0.84,0.01,-0.02,0.89,12184411
-1.31,-0.84,0.01,-0.02,0.89,12188373
-1.31,-0.84,0.01,-0.02,0.89,12192325
-1.31,-0.84,0.01,-0.02,0.89,12196274
-1.31,-0.84,0.01,-0.02,0.89,12200232
-1.31,-0.84,0.01,-0.02,0.89,12204180
-1.31,-0.84,0.01,-0.02,0.89,12208142
-1.31,-0.84,0.01,-0.02,0.89,12212091
-1.31,-0.84,0.01,-0.02,0.89,12216043
-1.31,-0.84,0.01,-0.02,0.89,12219993
-1.31,-0.84,0.01,-0.02,0.89,12223948
-1.31,-0.84,0.01,-0.02,0.89,12227907
-1.31,-0.84,0.01,-0.02,0.89,12231854
-1.31,-0.84,0.01,-0.02,0.89,12235813
-1.31,-0.84,0.01,-0.02,0.89,12239768
-1.31,-0.84,0.01,-0.02,0.89,12243718
-1.31,-0.84,0.01,-0.02,0.89,12247675
-1.31,-0.84,0.01,-0.02,0.89,12251620
-1.31,-0.84,0.01,-0.02,0.89,12255579
-1.31,-0.84,0.01,-0.02,0.89,12259523
-1.31,-0.84,0.01,-0.02,0.89,12263474
-1.31,-0.84,0.01,-0.02,0.89,12267437
-1.31,-0.84,0.01,-0.02,0.89,12271388
-1.31,-0.84,0.01,-0.02,0.89,12275341
-1.31,-0.83,0.01,-0.02,0.89,12279289
-1.31,-0.83,0.01,-0.02,0.89,12283239
-1.31,-0.83,0.01,-0.02,0.89,12287196
-1.31,-0.83,0.01,-0.02,0.89,12291147
-1.31,-0.83,0.01,-0.02,0.89,12295108
-1.31,-0.83,0.01,-0.02,0.89,12299057
-1.31,-0.83,0.01,-0.02,0.89,12303005
-1.31,-0.83,0.01,-0.02,0.89,12306961
-1.31,-0.83,0.01,-0.02,0.89,12310907
-1.31,-0.83,0.01,-0.02,0.89,12314867
-1.31,-0.83,0.01,-0.02,0.89,12318815
-1.31,-0.83,0.01,-0.02,0.89,12322763
-1.31,-0.83,0.01,-0.02,0.89,12326715
-1.31,-0.83,0.01,-0.02,0.89,12330661
-1.31,-0.83,0.01,-0.02,0.89,12334622
-1.31,-0.83,0.01,-0.02,0.89,12338566
-1.31,-0.83,0.01,-0.02,0.89,12342516
-1.31,-0.83,0.01,-0.02,0.89,12346467
-1.31,-0.83,0.01,-0.02,0.89,12350412
-1.31,-0.83,0.01,-0.02,0.89,12354373
-1.31,-0.83,0.01,-0.02,0.89,12358318
-1.31,-0.83,0.01,-0.02,0.89,12362276
-1.31,-0.83,0.01,-0.02,0.89,12366220
-1.31,-0.83,0.01,-0.02,0.89,12370168
-1.32,-0.83,0.01,-0.02,0.89,12374122
-1.32,-0.83,0.01,-0.02,0.89,12378070
-1.32,-0.83,0.01,-0.02,0.89,12382036
-1.32,-0.83,0.01,-0.02,0.89,12385980
-1.32,-0.83,0.01,-0.02,0.89,12389938
-1.32,-0.83,0.01,-0.02,0.89,12393894
-1.31,-0.84,0.01,-0.02,0.89,12397836
-1.31,-0.84,0.02,-0.02,0.89,12401789
-1.31,-0.84,0.01,-0.02,0.89,12405733
-1.32,-0.84,0.01,-0.02,0.89,12409686
-1.32,-0.84,0.01,-0.02,0.89,12413638
-1.32,-0.84,0.01,-0.02,0.89,12417579
-1.32,-0.84,0.01,-0.02,0.89,12421534
-1.32,-0.84,0.01,-0.02,0.89,12425485
-1.32,-0.84,0.01,-0.02,0.89,12429440
-1.32,-0.84,0.01,-0.02,0.89,12433398
-1.32,-0.84,0.01,-0.02,0.89,12437344
-1.32,-0.84,0.01,-0.02,0.89,12441301
-1.32,-0.84,0.01,-0.02,0.89,12445249
-1.32,-0.84,0.01,-0.02,0.89,12449195
-1.32,-0.84,0.01,-0.02,0.89,12453143
-1.32,-0.84,0.01,-0.02,0.89,12457104
-1.32,-0.84,0.01,-0.02,0.89,12461058
-1.32,-0.84,0.01,-0.02,0.89,12465007
-1.32,-0.84,0.01,-0.02,0.89,12468960
-1.32,-0.84,0.01,-0.02,0.89,12472908
-1.32,-0.84,0.01,-0.02,0.89,12476850
-1.31,-0.84,0.01,-0.02,0.89,12480816
-1.31,-0.84,0.01,-0.02,0.89,12484759
-1.31,-0.84,0.01,-0.02,0.89,12488716
-1.31,-0.84,0.01,-0.02,0.89,12492659
-1.31,-0.84,0.01,-0.02,0.89,12496610
-1.31,-0.84,0.01,-0.02,0.89,12500566
-1.31,-0.84,0.01,-0.02,0.89,12504513
-1.31,-0.84,0.01,-0.02,0.89,12508466
-1.31,-0.84,0.01,-0.02,0.89,12512409
-1.31,-0.84,0.01,-0.02,0.89,12516361
-1.31,-0.84,0.01,-0.02,0.89,12520312
-1.31,-0.84,0.01,-0.02,0.89,12524256
-1.31,-0.84,0.01,-0.02,0.89,12528214
-1.31,-0.84,0.01,-0.02,0.89,12532171
-1.32,-0.84,0.01,-0.02,0.89,12536124
-1.32,-0.84,0.01,-0.02,0.89,12540078
-1.32,-0.84,0.01,-0.02,0.89,12544034
-1.32,-0.84,0.01,-0.02,0.89,12547989
-1.32,-0.84,0.01,-0.02,0.89,12551938
-1.32,-0.84,0.01,-0.02,0.89,12555892
-1.32,-0.84,0.01,-0.02,0.89,12559856
-1.31,-0.84,0.01,-0.02,0.89,12563797
-1.31,-0.84,0.01,-0.02,0.89,12567758
-1.31,-0.84,0.01,-0.02,0.89,12571706
-1.31,-0.84,0.01,-0.02,0.89,12575662
-1.31,-0.84,0.01,-0.02,0.89,12579608
-1.31,-0.85,0.01,-0.02,0.89,12583560
-1.31,-0.85,0.01,-0.02,0.89,12587521
-1.31,-0.85,0.01,-0.02,0.89,12591468
-1.31,-0.85,0.01,-0.02,0.89,12595416
-1.31,-0.85,0.01,-0.02,0.89,12599360
-1.31,-0.85,0.01,-0.02,0.89,12603302
-1.31,-0.85,0.01,-0.02,0.89,12607263
-1.31,-0.85,0.01,-0.02,0.89,12611210
-1.31,-0.85,0.01,-0.02,0.89,12615174
-1.31,-0.85,0.01,-0.02,0.89,12619121
-1.31,-0.85,0.01,-0.02,0.89,12623076
-1.32,-0.85,0.01,-0.02,0.89,12627031
-1.32,-0.85,0.01,-0.02,0.89,12630979
-1.32,-0.85,0.01,-0.02,0.89,12634936
-1.32,-0.85,0.01,-0.02,0.89,12638883
